Dataset,Oversampler,Classifier,Accuracy,Precision,Recall,F1 Score,ROC AUC,Time Taken
TwoPatterns,none_sampling,rotation_forest,0.75425,1.0,0.050241545893719805,0.09567617295308188,0.906320926102435,8.832984209060669
UMD,none_sampling,rotation_forest,0.6736111111111112,1.0,0.020833333333333332,0.04081632653061224,0.9624565972222222,2.3319969177246094
UWaveGestureLibraryAll,none_sampling,rotation_forest,0.9614740368509213,0.9933993399339934,0.6887871853546911,0.8135135135135135,0.9943835880570301,53.85863208770752
UWaveGestureLibraryX,none_sampling,rotation_forest,0.9302065884980458,0.9308755760368663,0.4622425629290618,0.617737003058104,0.9587031101636028,19.703933000564575
UWaveGestureLibraryY,none_sampling,rotation_forest,0.9274148520379676,0.9154929577464789,0.4462242562929062,0.6,0.9512149247106847,16.75107502937317
UWaveGestureLibraryZ,none_sampling,rotation_forest,0.929927414852038,0.9428571428571428,0.45308924485125857,0.6120556414219475,0.9675926700694504,15.165152072906494
Wafer,none_sampling,rotation_forest,0.9922128487994809,0.9827856025039123,0.9443609022556391,0.9631901840490797,0.999521580820573,9.02121114730835
Wine,none_sampling,rotation_forest,0.4444444444444444,0.0,0.0,0.0,0.27983539094650206,3.566720962524414
WordSynonyms,none_sampling,rotation_forest,0.9796238244514106,1.0,0.07142857142857142,0.13333333333333333,0.9162087912087912,4.828737020492554
Worms,none_sampling,rotation_forest,0.5584415584415584,0.0,0.0,0.0,0.5902203856749311,13.769779920578003
WormsTwoClass,none_sampling,rotation_forest,0.5714285714285714,0.0,0.0,0.0,0.59366391184573,13.932214975357056
Yoga,none_sampling,rotation_forest,0.5523333333333333,0.9464285714285714,0.03804737975592247,0.07315389924085576,0.7557705855260836,12.130850076675415
